Place,Bib,Name,Division,Division Place,Wave,Swim,T1,Bike,T2,Run,Chip Time,Clock Time
204,142,P Patrick MCGRATH,M 25-29,11,Wave 2,22:26,2:54,29:08,1:09,26:55,1:22:34,1:26:34
205,321,A Aeyal GINOR,M 55-59,20,Wave 4,22:36,3:40,27:59,1:57,26:23,1:22:37,1:35:45
206,203,A Ava MICENA,F 14-19,2,Wave 3,19:00,2:24,31:39,1:03,28:33,1:22:41,1:30:43
207,369,B Bob OTTO,M 70-74,2,Wave 4,21:11,3:31,24:33,1:41,31:44,1:22:42,1:35:50
208,249,L Lauren DARIENZO,F 45-49,5,Wave 3,25:01,2:34,29:43,1:41,24:04,1:23:05,1:31:07
209,246,Maria GRIECO,F 40-44,6,Wave 3,19:43,1:54,31:37,1:26,28:41,1:23:23,1:31:25
210,468,J Jeff ROTH,M 45-49,8,Wave 2,18:31,3:27,29:07,2:04,30:16,1:23:26,1:27:26
211,434,S Seth KURPIEL,M 40-44,16,Wave 1,26:10,3:11,29:21,0:58,23:57,1:23:39,1:23:39
212,401,J James FILOMENA,M Friends/Family,1,Wave 5,20:07,3:12,30:19,1:33,28:40,1:23:53,1:40:54
213,39,D David CHOI,M 30-34,12,Wave 1,26:12,3:31,25:38,2:37,25:54,1:23:54,1:23:54
214,448,W William PERRONE,M 65-69,7,Wave 4,23:13,3:52,24:59,2:18,29:30,1:23:55,1:37:03
215,354,S Stephen BERG,M 60-64,15,Wave 4,20:23,5:40,27:46,1:03,29:11,1:24:06,1:37:14
216,397,J John SKINNER,M Friends/Family,2,Wave 5,25:26,3:01,28:13,1:25,26:01,1:24:08,1:41:09
217,158,O Owen MCCRUDDEN,M 45-49,9,Wave 2,27:12,4:03,26:48,2:39,23:31,1:24:16,1:28:15
218,476,J Jenna KOLKER,F 30-34,8,Wave 3,19:39,3:26,31:25,1:06,28:46,1:24:25,1:32:27
219,214,M Mallory ROBALINO,F 25-29,5,Wave 3,21:30,3:25,29:39,1:16,28:35,1:24:26,1:32:29
220,383,P Pamela RAUDSEPP,F 60-64,2,Wave 4,19:38,3:00,28:23,2:10,31:13,1:24:26,1:37:35
221,185,J John MURCOTT,M 55-59,21,Wave 2,20:28,4:28,27:39,2:06,29:47,1:24:30,1:28:30
222,250,D Danielle BALDWIN,F 45-49,6,Wave 3,19:44,3:19,32:26,1:19,27:40,1:24:30,1:32:33
223,241,G Gloria BEDOYA,F 40-44,7,Wave 3,25:07,2:40,26:51,1:08,28:57,1:24:45,1:32:47
224,328,K Kerry HEALY,M 55-59,22,Wave 4,18:40,3:56,29:40,1:24,31:03,1:24:45,1:37:53
